Instructions			
Primary Industry	Primary Industry Code	Industry Group	Industry
Diversified Banks	107	Banks	Financial Institutions
Regional Banks	108	Banks	Financial Institutions
Multi-Sector Holdings	109	Financial Services	Financial Institutions
Consumer Finance	110	Consumer Finance	Financial Institutions
Commercial and Residential Mortgage Finance	111	Financial Services	Financial Institutions
Investment Banking and Brokerage	112	Capital Markets	Financial Institutions
Financial Exchanges and Data	113	Capital Markets	Financial Institutions
Asset Management and Custody Banks	114	Capital Markets	Financial Institutions
Life and Health Insurance	115	Insurance	Financial Institutions
Property and Casualty Insurance	116	Insurance	Financial Institutions
Insurance Brokers	117	Insurance	Financial Institutions
Real Estate Operating Companies	118	Real Estate Management and Development	Real Estate
Real Estate Services	119	Real Estate Management and Development	Real Estate
Real Estate Development	120	Real Estate Management and Development	Real Estate
Diversified REITs	121	Diversified REITs	Real Estate
Research and Consulting Services	122	Professional Services	Business Services
Human Resource and Employment Services	123	Professional Services	Business Services
IT Consulting and Other Services	124	IT Services	Technology/Media/Telecommunications
Application Software	125	Software	Technology/Media/Telecommunications
Data Processing and Outsourced Services	126	Professional Services	Business Services
Internet Services and Infrastructure	127	IT Services	Technology/Media/Telecommunications
Security and Alarm Services	128	Commercial Services and Supplies	Business Services
Leisure Facilities	129	Hotels, Restaurants and Leisure	Leisure
Health Care Services	130	Health Care Providers and Services	Healthcare
Education Services	131	Education Services	Public Sector and Education
Other	132	Other	Other
Diagnostic, Analytical and Biotechnology	133	Medical Equipment and Supplies	Pharmaceutical and Life Sciences
Medical Devices and Technology	134	Medical Equipment and Supplies	Pharmaceutical and Life Sciences
Animal Health	135	Pharmaceuticals and Biotechnology	Pharmaceutical and Life Sciences
Other Pharmaceuticals	140	Pharmaceuticals and Biotechnology	Pharmaceutical and Life Sciences
Gaming	141	Entertainment	Technology/Media/Telecommunications
Online Gambling	142	Entertainment	Technology/Media/Telecommunications
TV/Internet Access Providers	143	IT Services	Technology/Media/Telecommunications
Online/Digital	145	Media	Technology/Media/Telecommunications
Environmental and Facilities Services	146	Other Services and Supplies	Other
Environmental Management	147	Public Sector and Education Services and Supplies	Public Sector and Education
Contract Research	148	Pharmaceuticals and Biotechnology	Pharmaceutical and Life Sciences
Contract Development/Manufacturing	149	Pharmaceuticals and Biotechnology	Pharmaceutical and Life Sciences
Health Care Facilities	150	Health Care Providers and Services	Healthcare
Metal Manufacturing	151	Metal Manufacturing	Manufacturing
Forestry	152	Forestry	Agriculture, Food and Beverages
Office Services	153	Commercial Services and Supplies	Business Services
Pharma/Biopharma	155	Pharmaceuticals and Biotechnology	Pharmaceutical and Life Sciences
Entertainment	156	Leisure Entertainment	Leisure
Music Labels	157	Media	Technology/Media/Telecommunications
Transportation Equipment	158	Transportation Equipment	Manufacturing
Advertising Services	159	Commercial Services and Supplies	Business Services
Social Care Services	160	Healthcare Services	Healthcare
Business Support Services	161	Commercial Services and Supplies	Business Services
Transportation Services	162	Transportation Services and Supplies	Transportation
Irrigation Systems	163	Irrigation Systems	Natural Resources
Sewerage Systems	164	Water Utilities	Natural Resources
Educational, Religious, and Charitable Trusts	165	Educational, Religious, and Charitable Trusts	Public Sector and Education
Material Manufacturing	166	Material Manufacturing	Manufacturing
Public Finance, Taxation, and Monetary Policy	167	Financial Support Services	Financial Institutions
Management Consulting Services	168	Professional Services	Business Services
Legal Services	169	Professional Services	Business Services
Physical and Biological Research	170	Professional Services	Business Services
Business Consulting Services	171	Professional Services	Business Services
Engineering Services	172	Construction and Engineering	Construction
Investment Advice	173	Capital Markets	Financial Institutions
Pension, Health and Welfare Funds	174	Capital Markets	Financial Institutions
Private Equity	175	Capital Markets	Financial Institutions
Digital Banking	176	Fintech	Financial Institutions
Regtech	177	Fintech	Financial Institutions
Insurtech	178	Fintech	Financial Institutions
Lending, Capital Raising and Crowdfunding	179	Fintech	Financial Institutions
Payments	180	Fintech	Financial Institutions
Quote Aggregators	181	Fintech	Financial Institutions
Capital Markets, Trading and Wealth Management	182	Fintech	Financial Institutions
Distributed Ledger Technologies and Cryptocurrencies	183	Fintech	Financial Institutions
Reinsurance	184	Insurance	Financial Institutions
Renewable Energy	185	Electric Utilities	Natural Resources
Accounting Services	186	Professional Services	Business Services
