Instructions					
Changes	Element Name	Definition	Guidelines	Country/Industry	Sample Data
	Participating Entity FTE Employee Range	The full-time equivalent (FTE) employee range that best matches the country's total FTE employees.	"To convert part-timers to FTEs, sum all part-time hours and divide by baseline annual hours (e.g., 40 weekly hours X 52 weeks = 2,080 annual hours). Add this to the number of full-time employees to calculate the total number of FTE employees.

A-Under 90
B-90 to 240
C-240 to 620
D-620 to 1,600
E-1,600 to 4,100
F-4,100 to 10,600
G-10,600 to 27,500
H-27,500 to 75,000
I-75,000 to 200,000
J-Greater than 200,000

For the headquarter entity, enter global full-time equivalent (FTE) employees."		D [620 to 1,600]
	Participating Entity Geographic Scope	The geographic scope of the participating entity.	"S-Single - single country only
M-Multi-Country - small cluster of countries
R-Regional - an entire region, or multiple countries across one or two continents
G-Global - three or more continents

Select Single country when international operations are negligible.

Select Multi-Country when international operations are limited to a small clusters of countries, e.g., Benelux, China and Hong Kong, Nordics, UK and Ireland, often grouped under a single legal entity.

Select Regional when international operations are significant and covers an entire region, e.g., North America (U.S. and Canada), Western Europe, Middle East and Africa, Greater China (China, Hong Kong and Taiwan), South East Asia (SEA), Latin America, or multiple countries across one or two continents.

Select Global when international operations are predominant and covers three or more continents."		R [Regional]
Revised	Participating Entity Full Value Chain of Activities	The extent to which the organization maintains end to end control of the business, including design, creation, sale and support of products and/or services.	"Y-The organization controls the full value chain of activities for all regions/countries/subsidiaries.
N-The organization does not control the full value chain of activities for all regions/countries/subsidiaries (e.g., entities may be independent)."		Y [The organization controls the full value chain of activities]
	Participating Entity Products/Services in Single/Related Industries	Indicate whether the participating entity's products/services are in a single/related industry or span multiple distinct/unrelated industries.	"Y-Single/Related Industries
N-Multiple/Diverse Industries"		Y [Single/Related Industries]
	Participating Entity Survey Grade	This field is automatically calculated based on the reported participating entity characteristics (i.e., Annual Revenue Range, FTE Employee Range, Geographic Scope, Full Value Chain of Activities, Products/ Services in Single/Related Industries).	"Refer to the Organization/Business Unit Survey Grading Guidelines to determine if your organization qualifies as a business unit.
 
Failure to provide any of the country characteristics will prevent the Survey Grade from being calculated. Country Survey Grades are calculated as an indication to guide the job matching of your incumbents within each entity and are used as a reference during data validation to detect incumbent Survey Grades that do not seem plausible."		WTW use only
	Participating Entity Main Pay Change Month	The effective date for pay changes.	"Where pay changes are effective over multiple months, select the month the majority of salary reviews become effective.

When pay changes are effective on a rolling/anniversary review basis, select RR-Rolling Review.

For countries where there is a union or mandatory increase, please consider the merit date and not the mandatory factor."		01 [January]
Revised	Participating Entity Primary Industry	The primary industry that most closely describes the organization's line(s) of business.	Refer to the Industries tab.		001 [Agricultural Products]
	Participating Entity Performance Bonus Plan	Organization has a performance bonus plan. This is an incentive scheme with a predetermined performance and reward schedule, whether or not deferred and irrespective of the delivery medium (cash or equity).	"Y-Organization has a performance bonus plan
N-No plan"		Y [Yes]
	Participating Entity Sales Incentive Plan	Organization has a sales incentive plan.	"C-Organization has a Commission Plan
G-Organization has a Goal-Based Sales Incentive Plan
B-Organization has both a Commission and Goal-Based Sales Incentive Plan
N-No Sales Incentive Plan

Goal-Based: incentive earned based on performance relative to a quota, goal or other pre-determined performance objectives; although infrequent, may include goal-based mechanic for performance up to a threshold level (e.g., target, quota or point of excellence) and then commission-based mechanic beyond threshold.

Commission: incentive earned / calculated using a commission rate (e.g., percentage of sales, profit, volume) or flat dollar amount applied to every dollar or unit sold.

Note: The term ""sales commission"" or ""sales bonus"" may be used interchangeably by companies to describe all of the above incentive forms for sales professionals."		C [Organization has a Commission plan]
	Participating Entity Profit-Sharing Plan	Organization has a profit-sharing plan.	"Y-Organization has a profit-sharing plan
N-No plan"		Y [Yes]
	Participating Entity Car Benefit Plan	Organization has a company car benefit plan.	"Y-Organization has a company car benefit plan
N-No plan"		Y [Yes]
	Participating Entity Long-Term Incentive Plan	Organization offers Long-Term Incentive Plan.	"Y-Organization has a long-term incentive plan
N-No plan"		Y [Yes]
	Base Salary Number of Months for Performance Bonus Calculations	The number of months of base salary that defines the annual base salary used as the basis to calculate your Target Performance Bonus, when reported as a % of Base Salary.		LATAM ONLY	12.000
	Base Salary Number of Months for Goal-Based Sales Incentive Calculations	The number of months of base salary that defines the annual base salary used as the basis to calculate your Target Goal-Based Sales Incentive, when reported as a % of Base Salary.		LATAM ONLY	12.000
Parent Information					
	Parent Name	The name of the parent organization.			Parent Company Name
	Parent Nationality	The nationality of the parent organization.	Refer to the Country Codes tab.		USA [United States]
	Parent Annual Revenue Range (USD)	The annual revenue range that most closely matches the parent organization's USD annual revenue.	"A-Less than 5M USD
B-5M to 10M USD
C-10M to 25M USD
D-25M to 75M USD
E-75M to 150M USD
F-150M to 300M USD
G-300M to 500M USD
H-500M to 1BN USD
I-1BN to 2BN USD
J-2BN to 5BN USD
K-5BN to 10BN USD
L-10BN to 50BN USD
M-50BN to 100BN USD
N-Greater than 100BN USD"		D [25M to 75M USD]
	Parent FTE Employee Range	The full-time equivalent (FTE) employee range that best matches the parent organization's total number of FTE employees.	"To convert part-timers to FTEs, sum all part-time hours and divide by baseline annual hours (e.g., 40 weekly hours x 52 weeks = 2,080 annual hours). Add this to the number of full-time employees to calculate the total number of FTE employees.

A-Under 90
B-90 to 240
C-240 to 620
D-620 to 1,600
E-1,600 to 4,100
F-4,100 to 10,600
G-10,600 to 27,500
H-27,500 to 75,000
I-75,000 to 200,000
J-Greater than 200,000"		H [27,500 to 75,000]
	Parent Geographic Scope	The geographic scope of the parent organization.	"S-Single - single country only
M-Multi-Country - small cluster of countries
R-Regional - an entire region, or multiple countries across one or two continents
G-Global - three or more continents

Select Single country when international responsibility is negligible. 

Select Multi-Country when international responsibility is limited to a small cluster of countries, e.g., Benelux, China and Hong Kong, Nordics, UK and Ireland, often grouped under a single legal entity. 

Select Regional when international responsibility is significant and covers an entire region, e.g., North America (U.S. and Canada), Western Europe, Middle East and Africa, Greater China (China, Hong Kong and Taiwan), South East Asia (SEA), Latin America, or multiple countries across one or two continents.

Select Global when international responsibility is predominant and covers three or more continents. Parent Geographic Scope should also be Global."		G [Global]
Revised	Parent Full Value Chain of Activities	The extent to which the parent maintains end-to-end control of the business, including design, creation, sale and support of products and/or services.	"Y-The organization controls the full value chain of activities for all regions/countries/subsidiaries.
N-the parent does not control the full value chain of activities for all regions/countries/subsidiaries (e.g., entities may be independent)."		Y [Yes]
	Parent Products/Services in Single/Related Industries	Indicate whether the parent's products/services are in a single/related industry or span multiple distinct/unrelated industries.	"Y-Single/Related Industries
N-Multiple/Diverse Industries"		Y [Single/Related Industries]
	Parent Survey Grade	This field is automatically calculated based on the reported parent organization characteristics (i.e., Annual Revenue Range, FTE Employee Range, Geographic Scope, Full Value Chain of Activities, Products/ Services in Single/Related Industries).	"Refer to the Organization/Business Unit Survey Grading Guidelines to determine if your organization qualifies as a business unit.
 
Failure to provide any of the parent characteristics will prevent the Survey Grade from being calculated. Parent Survey Grades are calculated as an indication to guide the job matching of your incumbents within each entity and are used as a reference during data validation to detect incumbent Survey Grades that do not seem plausible."		WTW use only
Incumbent Data					
Employee Data					
	Country Code	The country code of the primary office to which they are assigned.	Refer to the Country Codes tab.		GBR
	Area/City Code	The area/city code of the primary office to which the incumbent is assigned.	"Refer to the Country Codes tab.

For remote employees, report their nominal office or location to which they are assigned

For all regions except Moscow, Moscow region, Saint-Petersburg and Leningrad region apply the same area/city code to incumbents based in regional capital city and outside regional capital city within a region (e.g., RU033 for Novosibirsk and Novosibirsk region/oblast).

For the cities of and regions around Moscow and Saint-Petersburg, more granular codes are available and should be applied as follows:
- Apply RU001 to incumbents based in Moscow
- Apply RU002 to incumbents based in Moscow region/oblast
- Apply RU003 to incumbents based in Saint-Petersburg
- Apply RU004 to incumbents based in Leningrad region/oblast"		GB001
	Postal/ZIP Code	The Postal/ZIP code for the incumbent's primary work location.	For home based employees or equivalent, please provide the postcode of their nominal or primary office.	APAC, EMEA ONLY	75008
	Unique Incumbent Identifier	Internal reference number, which is specific and unique to each individual.	"Do not use personal identifying data (e.g., employee names, initials, or government ID such as Social Security or Social Insurance number).

Use consistent identifiers year over year."		12345
	Department Name	The name of the department in which the incumbent has primary responsibility.	For validation purposes only - submit if readily available from HRIS data exports.		Accounting Department
	Internal Position Title	The internal job title your organization uses for this position.	Do not provide personally identifying information.		Accounting Manager
	Internal Grade/Level/Band	The internal grade/level/band your organization uses for this position.	Values can be alpha or numeric. If an incumbent is not assigned to a grade/level or the organization does not use grades or levels this field should be left blank.		AA
	Employee Status	The employee status of the incumbent.	"Brazil
BRA01-Estatutário - Position defined by organization Statute, usually Top Executives
BRA02-Não estatutário - Regular position in the organization, non-statutory"	BRAZIL ONLY	BEL01
	Education Level	The education level of the incumbent.	"E00-Below Secondary School or Vocational Training
E10-High/Secondary School
E20-Junior College (typically 2 years post-secondary school)
E30-Bachelor's Degree (typically 3-4 years post-secondary school)
E40-Specialized Diploma (e.g., Engineering or Business Schools)
E45-Specialized Diploma - Top Tier Schools
E60-Master's Degree
E70-Doctorate"	APAC ONLY	E60
	Gender	The gender of the incumbent.	"M-Male
F-Female
U-Undisclosed/Not reported"		F
	Date of Birth	The incumbent's date of birth.	"Please enter the date in your normal date format (DD/MM/YY or MM/DD/YY depending on the user default).

If you don't want to enter the actual date please use 1 January."		1-1-1970
	Date of Hire	The incumbent's date of hire.	"Please enter the date in your normal date format (DD/MM/YY or MM/DD/YY depending on the user default).

If you don't want to enter the actual date enter the year of hire."		7-7-2003
	Year of Entry into Business/Industry	Year of entry into the business/industry within your organization and/or another one.		APAC ONLY	2,012
	Basic Hours Worked Per Week	The average basic contractual hours worked per week by the incumbent.	If an incumbent works part-time, convert Annual Base Salary, and all other compensation data elements to full-time equivalents.	EMEA ONLY	20.00
Job Matching Information					
	Function Code	The appropriate three-letter function code (e.g., AHR) for the incumbent's job.	The codes are listed in the Functions and Disciplines section of the Position Descriptions file. All incumbents must have a function code.		AFB
	Discipline Code	The appropriate discipline code for the incumbent's job, consisting of three letters and three digits (e.g., AHR000).	The codes are listed in the Functions and Disciplines section in the Position Descriptions file. All incumbents must have a discipline code.		AFB010
	Career Level	The appropriate Career Level for the incumbent's job.	For applicable career levels, please refer to the Leveling section of the Position Descriptions file. All incumbents must have a career level.		P4
	Incumbent Survey Grade	The Survey Grade of the incumbent's job.	For applicable survey grades, please refer to the Leveling section of the Position Descriptions file. All incumbents must have a survey grade.		13
	Job Matching Comments	Any comments that will help in the data cleaning/validation process.			Accountant
Job Impact Data					
	Modifier: Language	Specifies the required language for which the allowance or premium is paid. This applies to additional spoken languages outside of the local vernacular. Typically English is a requirement in companies for which no allowance is offered.			FR
	Business Unit Name	Name of the business unit where the incumbent sits.	"If corporate employees are included in the submission, one of the business units should be named ""parent"" or ""corporate"" for reporting incumbents with organization-wide responsibility.
Report incumbents as part of the smallest possible business unit to which they belong (e.g., for a division head within a larger segment, report the name of the division rather than the overall segment)."		Corporate Business
	Number of Employees Supervised (Direct + Indirect)	The number of employees reporting (directly and indirectly) to the considered incumbent (e.g., for a general manager this number would be all employees in the business; for a function head, the number in the function).	This should only be provided for jobs matched to the M or EX career bands. Figures for jobs below supervision level will be removed.		1,000
	Corporate/Noncorporate	Segment of the organization in which the incumbent has primary responsibility.	"C-Corporate - Responsibilities span the entire organization. This should not be used for incumbents in a subsidiary, segment, division or region.
N-Noncorporate - Responsibilities limited to a segment of the organization (e.g., subsidiary, segment, division or product category).

Always report the head of a segment, region, division or country as ""Noncorporate""."		C
Revised	Geographic Scope	The geographic scope of the incumbent.	"This should only be provided for jobs matched to the M or EX career bands.

S-Single - single country only
M-Multi-Country - small cluster of countries
R-Regional - an entire region, or multiple countries across one or two continents
G-Global - three or more continents

Select Single country when international responsibility is negligible.

Select Multi-Country when international responsibility is limited to a small cluster of countries, e.g., Benelux, China and Hong Kong, Nordics, UK and Ireland, often grouped under a single legal entity.

Select Regional when international responsibility is significant and covers an entire region, e.g., North America (U.S. and Canada), Western Europe, Middle East and Africa, Greater China (China, Hong Kong and Taiwan), South East Asia (SEA), Latin America, or multiple countries across one or two continents.

Select Global when international responsibility is predominant and covers three or more continents. Parent Geographic Scope should also be Global."		G
Base Salary					
	Currency of Pay Elements	The currency code for all pay elements (e.g., Base Salary, Fixed Cash Allowances, Annual Bonus/Incentives, Other Cash).	Refer to the Country Codes tab.		GBP
	Annual Base Salary	The current full-time equivalent (FTE) annual base salary. Includes any guaranteed additional fixed payments such as holiday pay and any extra-contractual months required by law, collective agreement or organization practice.	"Report the full time equivalent (FTE) gross salary amount for each incumbent prior to any deductions (e.g., tax, social security or salary sacrifice), as at their most recent adjustment date. Adjustments include any cost-of-living increase, indexation, merit increase or promotion.

Part-time salaries should be converted to full time.

Does not include fixed cash allowances.

Does not include variable awards such as performance bonus, discretionary bonus, sales incentives, overtime pay, stand-by/call-out pay and shift premiums/payments.

For Russia, please include statutory geographical pay coefficients."	APAC, EMEA ONLY	10,00,000
	Previous Year Annual Base Salary	The previous year full- time equivalent (FTE) annual base salary. Includes any guaranteed additional fixed payments such as holiday pay and any extra-contractual months required by law, collective agreement or organization practice.	"Report the full time equivalent (FTE) gross salary amount for each incumbent excluding any deductions (e.g., tax, social security or salary sacrifice) prior to their most recent adjustment. Adjustments include any cost-of-living increase, indexation, merit increase or promotion.

Part-time salaries should be converted to full time.

Does not include fixed cash allowances.

Does not include variable awards such as performance bonus, discretionary bonus, sales incentives, overtime pay, stand-by/call-out pay and shift premiums/payments."	APAC, EMEA ONLY	65,000
	Monthly Base Salary	The full-time equivalent (FTE) Monthly Basic Guaranteed Salary or Base Salary, prior to any deductions such as salary sacrifices.	"Do NOT include: non-guaranteed overtime, stand-by/call-out pay, shift premium/payments, location premium/allowances, market premium, car allowance, one-off payments and lunch allowances.

Do NOT include: guaranteed additional fixed payments such as holiday pay and any extra-contractual months required by law, collective agreement or organization practice.

Report the full-time equivalent (FTE) monthly base salary for each incumbent prior to any deductions (e.g., tax, social security or salary sacrifice), as at their most recent adjustment date.

Adjustment includes cost-of-living increase, indexation, merit increase and promotion.

Part-time salaries should be converted to full time.

For Brazil, include Adicional de Função here."	LATAM ONLY	6,860.00
	Base Salary Number of Months	The number of months of base salary provided annually, including fixed pay such as extra months' pay (i.e., 13th/14th month pay), depending on the country and/or organization's policy. Please refer to the guideline for detailed instructions for Latin America countries.	"The number of months of base salary typically range from 12 to 16, depending on the country.

Argentina - Report 13 months. If your company pays other concepts above 13 months, report the additional under Other Fixed Cash Allowances, and enter 13 here.

Brazil - Include the Christmas Bonus here; Vacation Bonus should be reported in the appropriate column."		13.00
	Overtime Compensation Type	The type of overtime compensation arrangement.	"A-All-In Salary - All-Inclusive Salary (no extra overtime compensation). Nature of job requires frequent overtime work and are covered by employment act where employers are obliged to pay overtime. Overtime payment is built into Base Salary.
G-Guaranteed - Eligible for guaranteed/global overtime compensation
I-Individual - Eligible for individual (non global) overtime compensation (cash, time off or working time account) based on actual overtime worked (the corresponding amount is not collected in this workbook)
N-Not eligible"	EMEA ONLY	A
Fixed Cash Allowances (Annual Amounts)					
	Child's Education Allowance per child (as per company policy)	Annual education allowance/value if provided.	Report amount per child received by incumbent. If this is a fixed amount, report the total amount received and indicate 1 in the number of children.	APAC ONLY	7,500
	Child's Education Allowance - Number of Children Covered	Actual number of children covered	Report “1” if Child’s Education Allowance is fixed/total amount	APAC ONLY	3
	Housing Allowance	Annual housing allowance/value if provided.	If your organization provides housing for the employee, please report the annual rental cost of the property.	APAC ONLY	25,000
	Language Allowance	Fixed annual allowance paid as a premium for language skills such as Japanese, Mandarin and others.			1,000
	Length of Service Allowance	Annual allowance based on seniority if provided.	Do not report length of service awards in cash or vouchers paid only at anniversary dates (considered a perquisite rather than a fixed cash allowance).	EMEA ONLY	99,999
	Location Allowance	Annual allowance compensating for being assigned to work in a costly or difficult location. This includes differentials paid to recognize the increased cost of living in a particular town, city or region as well as supplements paid for working in a difficult location (e.g., desert area, extreme climatic conditions).		APAC, EMEA ONLY	99,999
	Meal Allowance	Annual value of luncheon tickets or meals provided to the incumbent or the annual cost paid by the organization for canteen lunches.		APAC, EMEA ONLY	10,000
	Medical Allowance	Annual allowance provided for outpatient consultation/treatment.		INDIA ONLY	10,000
	Representation Allowance	Annual lump sum paid to cover miscellaneous business expenses for which the organization does not require justification (e.g., entertainment, car parking and related travel expenses, tips, clothing).		EMEA ONLY	99,999
	Rice Allowance	Annual amount of rice allowance.		PHILIPPINES ONLY	10,000
	Telecommunication Allowance	Annual amount of fixed cash communication allowance (e.g., mobile phone) or monthly fixed mobile phone allowance multiplied by 12.		APAC ONLY	10,000
	Transportation Allowance	Annual transportation allowance/value if provided.	"Transportation to and from work, camp or remote locations such as subsidized company bus, subsidy towards public transportation, or cash allowance to cover the same.

Do not include state subsidized schemes."	APAC, EMEA ONLY	10,000
	Vacation Allowance	Annual amount of vacation allowance to cover for vacation travel to the employee's hometown. Typically a lump sum allowance amount in lieu of ticket which is intended to cover the cost of one or multiple journeys to the city of origin. Do not report here vacation ticket reimbursement at cost.		INDIA ONLY	99,999
	Vacation Bonus	Annual bonus paid for vacation. May be paid at the time of the vacation period, on a fixed date or anniversary date.	"Report the annual amount. Mandatory in Brazil.

If you have your policy defined as a percentage of monthly base salary, you must calculate it and report as an annual amount for each incumbent.

For Brazil this is typically the mandatory one-third (33%) of monthly base salary, but some organizations pay a voluntary amount in excess of the minimum.

Report the full amount including any voluntary amounts in excess of the legal minimum."	BRAZIL ONLY	99,999
	Other Fixed Cash Allowances	The value of any other fixed cash allowances paid during the current annual cycle not already captured such as Skills Allowance.	"Report here less common allowances not collected individually through separate fields such as utilities allowance, rest allowance or furniture allowance. Indicate the name of those allowance(s) under Other Fixed Cash Allowance Type.

Exclude allowances collected through separate fields and benefit-related allowances (e.g., car allowance, pension allowance, flexible benefit allowance).

If not received, do not enter zero, leave blank."		99,999
	Other Fixed Cash Allowance Type	Items included under Other Fixed Cash Allowances.			utilities allowance
Fixed Cash Allowances (Monthly Amounts)					
	Hazardous Conditions Allowance (Monthly Amount)	Monthly allowance compensating for working in hazardous conditions due to precarious lodging, difficult working conditions, exposure to dangerous equipment or substances (e.g., inflammables, explosives, high voltage).	For Brazil, this covers "Adicional de Periculosidade."	BRAZIL ONLY	1,000.00
	Health Hazard Allowance (Monthly Amount)	Monthly amount paid to employees for abnormal exposure to noise, vibration, heat, cold, humidity, fumes, radiation, mineral dust, hyperbaric conditions or chemicals/biological agents, i.e., not within the norm considered safe by the applicable health and safety standards (also known as "Adicional de Insalubridade" in Brazil).		BRAZIL ONLY	1,000.00
Annual Bonus/Incentives					
	Eligible for Performance Bonus	Eligible for performance bonus. This is an incentive scheme with a predetermined performance and reward schedule, whether or not deferred and irrespective of the delivery medium (cash or equity).	"Y-Eligible - complete actual and target performance bonus fields.
N-Not eligible - leave both actual and target performance bonus fields blank.

In situations where partial payments can be annualized as a fair estimate, enter the annualized amount and put ""Y"" under eligible."		Y
	Target Performance Bonus % of Annual Base Salary	The target performance bonus or short-term incentive (i.e., to be paid for target/on-budget performance) as a percentage of the current annual base salary.	"Based on one year's performance, regardless of whether the award is paid in cash or shares, in full currently, in installments or deferred to future years. If the incumbent does not have a target bonus, leave this field blank.

If the scheme is not a target performance based scheme the information should be provided in the Discretionary Bonus section."		99.00
	Target Performance Bonus (Annual Amount)	The target annual performance bonus or short-term incentive amount (e.g., to be paid for target/on-budget performance).	Based on one year's performance, regardless of whether the award is paid in cash or shares, in full currently, in installments or deferred to future years. If the incumbent does not have a target bonus, leave this field blank. If the scheme is not a target performance based scheme the information should be provided in the Discretionary Bonus section.	LATAM, INDIA ONLY	9,999
	Maximum Performance Bonus Amount	The maximum performance bonus under the bonus/annual incentive scheme currently in operation.	Based on one year's performance, regardless of whether the award is paid in cash or shares, in full currently, in installments or deferred to future years. If the incumbent does not have a maximum bonus, leave this field blank.	INDIA ONLY	99,999
	Actual Performance Bonus Amount	The total performance bonus (FTE) earned for the most recent financial year. For incentive plans that generate multiple payments within a single year this should be the total annual amount.	"Include all incentive awards, based on one year's performance, regardless of whether the award is paid in cash or shares, in full immediately, in installments or deferred to future years. For zero receivers who failed the performance threshold input zero (0). For incumbents who received a partial year award, enter the annualized amount. For new hires not eligible to receive an award in the most recent financial year or incumbents who received an award based on a prior position, provide an estimate of the bonus that would have been paid for their current position (e.g., typical amount based on historical or expected payout for the job, e.g., 105% of target).

Do not report here: company-wide profit-sharing payments or recognition awards to select individuals (i.e., when they are not part of a formal annual incentive plan). Discretionary bonus should be reported under appropriate column."		9,999
	Eligible for Sales Incentive Plan	Eligible for Sales Incentive Plan (e.g., may be referred to as sales bonus, sales incentive, sales commission) that is separate and distinct from a corporate annual incentive or corporate annual bonus plan. (Eligibility typically limited to sales professionals and managers that directly influence sales and based primarily on quantitative measures (e.g., sales, profit, volume) related to individual and/or team sales performance but can, on occasion, include some elements of individual performance objectives that may be qualitative.)	"C-Eligible for Commission
G-Eligible for Goal-Based Incentive
B-Eligible for both Goal-Based Incentive and Commission
N-Not Eligible for Goal-Based Incentive and Commission

Goal-Based: incentive earned based on performance relative to a quota, goal or other pre-determined performance objectives; although infrequent, may include goal-based mechanic for performance up to a threshold level (e.g., target, quota or point of excellence) and then commission-based mechanic beyond threshold.

Commission: incentive earned / calculated using a commission rate (e.g., percentage of sales, profit, volume) or flat dollar amount applied to every dollar or unit sold.

Note: The term ""sales commission"" or ""sales bonus"" may be used interchangeably by companies to describe all of the above incentive forms for sales professionals."		C
	Target Goal-Based Sales Incentive % of Annual Base Salary	The target sales incentive (i.e., to be paid for target/on-budget performance) as a percentage of the current annual base salary.	"If eligibility for Goal-Based Incentive is 'N', do not enter zero; leave blank.

If the incumbent does not have a target, leave this field blank."		50.00
	Target Goal-Based Sales Incentive (Annual Amount)	The target annual sales incentive amount (e.g., to be paid for target/on-budget performance).	"If eligibility for Goal-Based Incentive is 'N', do not enter zero; leave blank.

If the incumbent does not have a target, leave this field blank.

For Brazil, please include the amount related to DSR (""Descanso Semanal Remunerado"" - Weekly Paid Rest) if your company pays it separately."	LATAM, INDIA ONLY	99,999
	Actual Goal-Based Sales Incentive Amount	The annual sales incentive amount earned for the most recent fiscal year.	"Include all incentive awards, based on one year's performance, regardless of whether the award is paid in cash or shares, in full immediately, in installments or deferred to future years.

For zero receivers who failed the performance threshold, input zero (0). For incumbents who received a partial year award, enter the annualized amount.

For new hires not eligible to receive an award in the most recent financial year or incumbents who received an award based on a prior position, provide an estimate of the bonus that would have been paid for their current position (e.g., typical amount based on historical or expected payout for the job, e.g., 105% of target).

For Brazil, please include the amount related to DSR (""Descanso Semanal Remunerado"" - Weekly Paid Rest) if your company pays it separately."		50,000
	Actual Commission Amount	The annual commission amount earned for the most recent fiscal year.	"If eligibility is 'N', do not enter zero; leave blank. For zero receivers, input zero (0).

For Brazil, please include the amount related to DSR (""Descanso Semanal Remunerado"" - Weekly Paid Rest) if your company pays it separately."		99,999
	Actual Discretionary Bonus Amount	"The annual discretionary bonus amount earned for the most recent fiscal year.

Discretionary bonus. Incentive award without a formal, predetermined performance and reward schedule. This generally covers any form of discretionary bonus such as the annual discretionary bonus arrangements typical in the financial services sector, as well as spot awards recognizing special achievement (e.g., recognition bonus, star award), project completion (e.g., drug launch bonus in the pharmaceutical industry)."	Include recognition awards, lump sum awards, alternative reward programs (e.g., gain sharing, team/group incentives or other productivity programs), and discretionary one-off payments (i.e., not part of a normal/regular short-term bonus or incentive plan) for the most recent financial year. If the incumbent did not receive any discretionary payments; leave blank.		2,000
	Target SSO Incentive	"The target annual incentive amount (e.g., paid out based on achievement of pre-determined Service Level Agreements).

Incentives or bonus that are client or project-based, with a monthly or quarterly targets to achieve SLAs such as operational performance excellence, call quality performance, team attendance, customer satisfaction, agent retention."	Enter the total target value of SSO incentive bonus (i.e., cash plus any deferred element).		10,000
	Actual SSO Incentive	The total SSO incentive amount earned for the last financial/performance year. For amounts paid monthly or quarterly, these should be the total amount.	Include all incentive awards, that may be client-sponsored or project-based. This is different from the Corporate performance bonus. Metrics are typically designed around the type of behaviors that the clients want to reinforce in their outsourced teams, i.e., average call handling time, call resolution, amount collected for those in Credit & Collection function.		10,000
	Target Other Annual Incentives	The target annual amount of other variable pay schemes paid to an incumbent.	This target would not be discretionary.	LATAM ONLY	10,000
	Actual Other Annual Incentives	Any other actual incentive payment in addition to performance bonus, discretionary bonus, goal-based sales incentive, commission and profit-sharing.	"Do not include one-off, incumbent-focused payments that are not representative of pay for the job, such as retention/sign-on bonuses, recognition awards, project completion bonuses and other forms of merit pay.

If none received, do not enter zero, leave blank."		1,000
	Other Annual Incentive Type	The type of annual incentive reported under "Other Annual Incentive."			
Profit-Sharing					
	Eligible for Profit-Sharing	Eligible for a cash profit-sharing payment, including voluntary and discretionary employee profit-sharing plans of the organization.	"Y-if the incumbent is eligible, even if he/she did not actually receive an award
N-if the incumbent is not eligible

For France, enter 'Y' only if the organization grants ""Intéressement collectif"" (voluntary profit-sharing) OR if the organization has less than 50 employees and grants ""Participation"" (mandatory profit-sharing)."		Y
	Target Profit-Sharing Amount	The target annual amount to be paid as voluntary company profit-sharing. In Brazil this amount will be established in union agreement. If your organization doesn't have a target for profit-sharing, please report the actual value.		BRAZIL ONLY	99,999
	Profit-Sharing - Voluntary	Amount paid to the employee based on a voluntary organization profit-sharing agreement (e.g., French accord d'intéressement collectif).	If eligibility is No, leave blank. For incumbents who received a partial year award, enter the annualized amount. For new hires not eligible to receive an award in the most recent financial year or incumbents who received an award based on a prior position, provide an estimate of the bonus that would have been paid for their current position.		99,999
Car Benefits					
